#Classification strategy
#(0) Hopeless
#(1) Arcs or arc constraints (basically anything with scintles resolved in time)
#(2) f_scint constraints (observable scint, not resolved in time)
#(3) Needs a re-do with different filtering pars
#(4) = 1+3), Arcs, but needs a re-do
#(5) = 2+3), f_scint, but needs a re-do
#(6) Borderline, or unsure

#PSRNAME CLASS
J0034-0721 3
J0038-2501 3
J0045-7042 3
J0045-7319 3
J0108-1431 0
J0111-7131 0
J0113-7220 2
J0131-7310 0
J0133-6957 3
J0134-2937 2
J0137+1654 0
J0151-0635 1
J0152-1637 1
J0206-4028 2
J0211-8159 2
J0255-5304 5
J0302+2252 2
J0304+1932 2
J0343-3000 1
J0401-7608 2
J0418-4154 3
J0421-0345 5
J0448-2749 2
J0449-7031 0
J0450-1248 2
J0452-1759 2
J0455-6951 2
J0456-7031 3
J0459-0210 1
J0502-6617 0
J0511-6508 2
J0514-4407 4
J0517+2212 2
J0519-6932 1
J0520-2553 2
J0522-6847 0
J0525+1115 2
J0532-6639 3
J0533+0402 1
J0534-6703 0
J0536-7543 1
J0540-7125 2
J0543+2329 1
J0543-6851 0
J0555-7056 3
J0601-0527 2
J0614+2229 2
J0621+0336 2
J0623+0340 0
J0624-0424 2
J0627+0649 2
J0627+0706 0
J0628+0909 3
J0629+2415 2
J0630-0046 2
J0630-2834 1
J0631+0646 0
J0631+1036 0
J0633+1746 0
J0633-2015 5
J0636-4549 4
J0646+0905 0
J0647+0913 0
J0652-0142 0
J0656-2228 5
J0656-5449 2
J0658+0022 0
J0659+1414 2
J0709-5923 2
J0711+0931 2
J0719-2545 0
J0725-1635 2
J0726-2612 5
J0729-1448 1
J0729-1836 1
J0733-2345 3
J0737-2202 0
J0738-4042 1
J0742-2822 1
J0746-4529 0
J0749-4247 0
J0758-1528 1
J0804-3647 0
J0807-5421 0
J0808-3937 0
J0809-4753 0
J0812-3905 0
J0815+0939 0
J0818-3049 0
J0818-3232 0
J0820-1350 1
J0820-3826 0
J0820-3921 0
J0820-4114 4
J0821-4221 0
J0823+0159 2
J0828-3417 0
J0831-4406 0
J0834-4159 0
J0835-3707 2
J0835-4510 1
J0836-4233 0
J0837+0610 1
J0837-4135 1
J0838-2621 0
J0840-5332 0
J0842-4851 0
J0843-5022 0
J0846-3533 1
J0847-4316 3
J0849-6322 2
J0855-3331 4
J0855-4644 0
J0855-4658 0
J0856-6137 2
J0857-4424 0
J0901-4624 0
J0902-6325 2
J0904-4246 0
J0904-7459 2
J0905-4536 0
J0905-5127 0
J0905-6019 2
J0907-5157 2
J0908-1739 1
J0908-4913 6
J0909-7212 4
J0912-3851 0
J0919-6040 1
J0922+0638 1
J0922-4949 0
J0924-5302 1
J0924-5814 1
J0927+2345 2
J0930-2301 3
J0932-3217 0
J0932-5327 0
J0934-4154 0
J0934-5249 1
J0940-5428 0
J0941-5244 1
J0942-5552 2
J0942-5657 1
J0943+1631 5
J0943+2253 3
J0944-1354 2
J0945-4833 1
J0949-6902 2
J0952-3839 3
J0953+0755 0
J0954-5430 1
J0955-5304 1
J0957-5432 0
J0959-4809 1
J1000-5149 2
J1001-5507 1
J1001-5559 4
J1001-5939 4
J1002-5919 3
J1003-4747 1
J1006-6311 0
J1012-2337 5
J1012-5857 0
J1013-5934 1
J1015-5719 0
J1016-5345 2
J1016-5819 0
J1016-5857 0
J1017-5621 1
J1018-1642 1
J1019-5749 3
J1020-5921 1
J1020-6026 0
J1021-5601 0
J1028-5819 1
J1031-6117 0
J1032-5206 4
J1034-3224 2
J1035-6345 0
J1036-4926 1
J1036-6559 0
J1038-5831 2
J1041-1942 2
J1042-5521 6
J1043-6116 0
J1046-5813 0
J1047-3032 2
J1047-6709 5
J1048-5832 1
J1048-5838 3
J1052-5954 3
J1052-6348 0
J1054-5943 0
J1054-5946 0
J1054-6452 0
J1055-6028 0
J1055-6236 0
J1056-5709 0
J1056-6258 1
J1057-4754 2
J1057-7914 2
J1058-5957 0
J1059-5742 1
J1103-6025 0
J1104-6103 1
J1105-6107 0
J1107-5907 3
J1110-5637 1
J1112-6103 0
J1112-6613 6
J1112-6926 1
J1114-6100 0
J1115-6052 0
J1116-2444 5
J1116-4122 1
J1117-6154 0
J1119-6127 0
J1121-5444 6
J1123-4844 2
J1123-6102 0
J1123-6259 0
J1123-6651 6
J1124-5638 0
J1124-5916 0
J1124-6421 0
J1126-6054 0
J1126-6942 5
J1130-5826 0
J1130-5925 0
J1130-6807 0
J1132-4700 6
J1132-5627 0
J1133-6250 3
J1136+1551 1
J1136-5525 1
J1137-6700 0
J1138-6207 0
J1141-3107 1
J1141-3322 2
J1141-6545 1
J1142-6230 3
J1143-5158 6
J1143-5536 6
J1144-6217 0
J1146-6030 2
J1151-6108 0
J1152-6012 2
J1154-6250 3
J1156-5707 0
J1156-5909 0
J1157-6224 3
J1159-6409 0
J1159-7910 2
J1201-6306 0
J1202-5820 2
J1204-6843 2
J1210-5559 2
J1210-6550 1
J1211-6324 0
J1214-5830 3
J1215-5328 1
J1216-6223 0
J1220-6318 3
J1222-5738 2
J1224-6208 0
J1224-6407 1
J1225-5556 2
J1225-6035 3
J1225-6408 0
J1226-3223 3
J1231-4609 3
J1232-4742 1
J1233-6312 0
J1233-6344 0
J1234-3630 2
J1235-6354 0
J1236-5033 2
J1237-6725 4
J1239+2453 1
J1239-6832 1
J1240-4124 4
J1243-5735 0
J1243-6423 1
J1244-5053 2
J1244-6359 0
J1245-6238 0
J1246+2253 2
J1248-6344 0
J1248-6444 0
J1249-6507 0
J1251-7407 2
J1252-6314 3
J1253-5820 1
J1254-6150 0
J1255-6131 3
J1257-1027 1
J1259-6741 1
J1301-6305 0
J1301-6310 0
J1303-6305 3
J1305-6203 0
J1305-6455 0
J1306-6242 0
J1306-6617 0
J1308-4650 3
J1308-5844 0
J1309-6526 0
J1311-1228 2
J1312-5402 1
J1312-5516 1
J1312-6400 4
J1313+0931 2
J1316-6232 3
J1317-5759 3
J1317-6302 0
J1319-6056 0
J1319-6105 0
J1320-3512 2
J1320-5359 1
J1321-5922 3
J1322-6241 3
J1326-5859 6
J1326-6408 0
J1326-6700 1
J1327-6222 0
J1327-6301 0
J1327-6400 0
J1328-4357 2
J1328-4921 2
J1331-5245 2
J1332-3032 3
J1333-4449 2
J1334-5839 2
J1336-2522 2
J1337-6306 0
J1338-6204 0
J1339-4712 2
J1339-6618 0
J1340-6456 1
J1341-6023 0
J1341-6220 0
J1345-6115 0
J1346-4918 2
J1347-5947 0
J1349-6130 0
J1350-5115 1
J1352-6803 1
J1355-5153 1
J1355-5925 0
J1355-6206 0
J1356-5521 1
J1357-62   0
J1357-6429 0
J1359-6038 6
J1400-6325 0
J1401-6357 1
J1402-5124 3
J1403-6310 0
J1403-7646 3
